iso_ts,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,imu_temp_c,env_temp_c,env_rh,dist_mm,wet,errors_imu,errors_env,errors_dist,errors_wet
2026-04-09T21:10:45.663+00:00,0,0.04931640625,-0.97265625,-0.19873046875,-3.6030534351145036,-0.04580152671755725,-0.11450381679389313,25.56529411764706,25.6,60,,,0,0,0,0
2026-04-09T21:10:45.916+00:00,253,0.035400390625,-0.969482421875,-0.193603515625,-3.595419847328244,-0.16793893129770993,-0.2824427480916031,25.51823529411765,25.6,60,,,0,0,0,0
2026-04-09T21:10:46.116+00:00,453,0.0615234375,-0.9716796875,-0.183349609375,-3.633587786259542,-0.5267175572519084,1.0229007633587786,25.61235294117647,25.6,60,,,0,0,0,0
2026-04-09T21:10:46.316+00:00,653,0.068115234375,-0.96923828125,-0.19580078125,-3.5267175572519083,-1.1297709923664123,2.8931297709923665,25.659411764705883,25.6,60,,,0,0,0,0
2026-04-09T21:10:46.516+00:00,853,0.05908203125,-0.9658203125,-0.2021484375,-3.267175572519084,-0.08396946564885496,1.1450381679389312,25.61235294117647,25.6,60,,,0,0,0,0
2026-04-09T21:10:46.716+00:00,1053,0.062744140625,-0.97314453125,-0.18505859375,-3.572519083969466,-0.061068702290076333,-0.33587786259541985,25.56529411764706,25.6,60,,,0,0,0,0
2026-04-09T21:10:46.916+00:00,1253,0.060546875,-0.964111328125,-0.17333984375,-3.6946564885496183,-0.2824427480916031,0.42748091603053434,25.51823529411765,25.6,60,,,0,0,0,0
2026-04-09T21:10:47.116+00:00,1454,0.05029296875,-0.966796875,-0.19775390625,-4.4961832061068705,-0.1297709923664122,-1.213740458015267,25.56529411764706,25.6,60,,,0,0,0,0
2026-04-09T21:10:47.317+00:00,1654,0.05517578125,-0.96826171875,-0.201171875,-4.129770992366412,-0.12213740458015267,-1.0534351145038168,25.61235294117647,25.6,60,,,0,0,0,0
2026-04-09T21:10:47.517+00:00,1854,0.057373046875,-0.966552734375,-0.20556640625,-3.854961832061069,0.061068702290076333,-1.083969465648855,25.61235294117647,25.6,60,,,0,0,0,0
2026-04-09T21:10:47.717+00:00,2054,0.051025390625,-0.974365234375,-0.189697265625,-4.404580152671755,0.2366412213740458,-1.2061068702290076,25.659411764705883,22.4,52,,,0,0,0,0
2026-04-09T21:10:47.972+00:00,2310,0.050048828125,-0.967529296875,-0.20556640625,-4.236641221374046,0.07633587786259542,-1.3358778625954197,25.56529411764706,22.4,52,,,0,0,0,0
2026-04-09T21:10:48.173+00:00,2510,0.053466796875,-0.9736328125,-0.1923828125,-3.732824427480916,-0.05343511450381679,-0.4351145038167939,25.61235294117647,22.4,52,,,0,0,0,0
2026-04-09T21:10:48.373+00:00,2710,0.056640625,-0.97509765625,-0.189208984375,-3.8091603053435112,-0.08396946564885496,-0.22900763358778625,25.51823529411765,22.4,52,,,0,0,0,0
2026-04-09T21:10:48.573+00:00,2910,0.04931640625,-0.9638671875,-0.193359375,-4.083969465648855,0.15267175572519084,-1.0610687022900764,25.56529411764706,22.4,52,,,0,0,0,0
2026-04-09T21:10:48.773+00:00,3110,0.05419921875,-0.97607421875,-0.19482421875,-3.931297709923664,-0.22900763358778625,-0.06870229007633588,25.61235294117647,22.4,52,,,0,0,0,0
2026-04-09T21:10:48.973+00:00,3310,0.049560546875,-0.96875,-0.194091796875,-4.038167938931298,-0.07633587786259542,-0.6870229007633588,25.471176470588237,22.4,52,,,0,0,0,0
2026-04-09T21:10:49.173+00:00,3510,0.048583984375,-0.974853515625,-0.186279296875,-3.564885496183206,-0.22137404580152673,0.5801526717557252,25.659411764705883,22.4,52,,,0,0,0,0
2026-04-09T21:10:49.373+00:00,3710,0.04345703125,-0.973388671875,-0.197998046875,-4.030534351145038,0.06870229007633588,-0.7251908396946565,25.61235294117647,22.4,52,,,0,0,0,0
2026-04-09T21:10:49.573+00:00,3910,0.048828125,-0.97021484375,-0.19921875,-3.9770992366412212,0.19083969465648856,-0.8473282442748091,25.56529411764706,22.4,52,,,0,0,0,0
2026-04-09T21:10:49.773+00:00,4110,0.0537109375,-0.97265625,-0.196533203125,-4.038167938931298,0.04580152671755725,-0.8091603053435115,25.56529411764706,22.3,52,,,0,0,0,0
2026-04-09T21:10:50.026+00:00,4363,0.058349609375,-0.97021484375,-0.192138671875,-4.015267175572519,0.06870229007633588,-1.083969465648855,25.56529411764706,22.3,52,,,0,0,0,0
2026-04-09T21:10:50.226+00:00,4563,0.052734375,-0.9697265625,-0.197021484375,-4.183206106870229,0.0916030534351145,-0.6335877862595419,25.51823529411765,22.3,52,,,0,0,0,0
2026-04-09T21:10:50.426+00:00,4763,0.038818359375,-0.96435546875,-0.20263671875,-3.9618320610687023,-0.1297709923664122,0.007633587786259542,25.424117647058825,22.3,52,,,0,0,0,0
2026-04-09T21:10:50.626+00:00,4963,0.04345703125,-0.9775390625,-0.192138671875,-4.809160305343512,0.42748091603053434,-2.7404580152671754,25.471176470588237,22.3,52,,,0,0,0,0
2026-04-09T21:10:50.826+00:00,5163,0.044189453125,-0.974853515625,-0.185791015625,-4.083969465648855,-0.06870229007633588,-1.1297709923664123,25.51823529411765,22.3,52,,,0,0,0,0
2026-04-09T21:10:51.027+00:00,5364,0.057861328125,-0.973388671875,-0.205078125,-4.1603053435114505,0.061068702290076333,-1.0687022900763359,25.51823529411765,22.3,52,,,0,0,0,0
2026-04-09T21:10:51.227+00:00,5564,0.055419921875,-0.97412109375,-0.195068359375,-3.8473282442748094,-0.09923664122137404,-0.31297709923664124,25.471176470588237,22.3,52,,,0,0,0,0
2026-04-09T21:10:51.427+00:00,5764,0.047119140625,-0.9716796875,-0.192626953125,-4.038167938931298,-0.22137404580152673,-0.648854961832061,25.56529411764706,22.3,52,,,0,0,0,0
2026-04-09T21:10:51.627+00:00,5964,0.048828125,-0.97314453125,-0.195556640625,-4.251908396946565,-0.09923664122137404,-1.0534351145038168,25.61235294117647,22.3,52,,,0,0,0,0
2026-04-09T21:10:51.827+00:00,6164,0.047607421875,-0.972412109375,-0.2060546875,-3.9083969465648853,0.2595419847328244,-1.7251908396946565,25.471176470588237,22.4,52,,,0,0,0,0
2026-04-09T21:10:52.080+00:00,6417,0.05029296875,-0.966552734375,-0.192626953125,-3.732824427480916,-0.31297709923664124,0.32061068702290074,25.61235294117647,22.4,52,,,0,0,0,0
2026-04-09T21:10:52.280+00:00,6617,0.053466796875,-0.9677734375,-0.20556640625,-4.251908396946565,-0.04580152671755725,-1.183206106870229,25.51823529411765,22.4,52,,,0,0,0,0
2026-04-09T21:10:52.480+00:00,6817,0.055908203125,-0.9716796875,-0.192138671875,-3.969465648854962,-0.12213740458015267,-1.2213740458015268,25.56529411764706,22.4,52,,,0,0,0,0
2026-04-09T21:10:52.680+00:00,7017,0.0458984375,-0.973876953125,-0.182861328125,-3.885496183206107,0.4580152671755725,-1.1450381679389312,25.51823529411765,22.4,52,,,0,0,0,0
2026-04-09T21:10:52.880+00:00,7217,0.065185546875,-0.976806640625,-0.2001953125,-4.755725190839694,0.44274809160305345,-2.7480916030534353,25.51823529411765,22.4,52,,,0,0,0,0
2026-04-09T21:10:53.080+00:00,7417,0.04052734375,-0.979248046875,-0.200439453125,-4.152671755725191,-0.24427480916030533,-0.9923664122137404,25.51823529411765,22.4,52,,,0,0,0,0
2026-04-09T21:10:53.281+00:00,7618,0.054443359375,-0.970947265625,-0.1923828125,-4.022900763358779,0.31297709923664124,-0.9694656488549618,25.56529411764706,22.4,52,,,0,0,0,0
